,device,Pr (mC/cm^2),2 Qsw/(U+|D|),Vc (P-V),Imprint (P-V),Vc (I-V),Imprint (I-V),endurance,10^6 Pr (mC/cm^2),10^6 2 Qsw/(U+|D|),10^6 Vc,10^6 Imprint,10^7 Pr (mC/cm^2),10^7 Vc,10^7 Imprint,max Pr (mC/cm^2)
0,200um_O_NA,4.4307004555996246,0.0,0.9144114153459668,0.2017191789315102,1.4202200956642628,0.51579900656054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,100um_O_NA,7.12918197723412,1.2719814234094313,1.041529898531735,0.1209277607814016,1.3245471501722932,0.0953422006533089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43979849070024
2,100um_O_NA2,6.207450297097228,1.1618574566411655,1.0220807217992842,0.09591177992019845,1.33589475043118,0.07173963264990646,0.0,8.050976389902411,2.126639748505365,1.4262102397593996,1.4262102397593996,0.0,0.0,0.0,3.085998379843957
