,device,Pr (mC/cm^2),2 Qsw/(U+|D|),Vc (P-V),Imprint (P-V),Vc (I-V),Imprint (I-V),endurance,10^6 Pr (mC/cm^2),10^6 2 Qsw/(U+|D|),10^6 Vc,10^6 Imprint,10^7 Pr (mC/cm^2),10^7 Vc,10^7 Imprint,max Pr (mC/cm^2)
0,100um_O_1D,-0.03669683091030071,0.0,0.05123250880378841,0.05123250880378841,2.530682609603811,2.530682609603811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,30um_O_1D,-0.0497491732352886,0.0,0.08216669579734548,0.08216669579734548,2.3429106923987226,2.3429106923987226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
