,device,Pr (mC/cm^2),2 Qsw/(U+|D|),Vc (P-V),Imprint (P-V),Vc (I-V),Imprint (I-V),endurance,10^6 Pr (mC/cm^2),10^6 2 Qsw/(U+|D|),10^6 Vc,10^6 Imprint,10^7 Pr (mC/cm^2),10^7 Vc,10^7 Imprint,max Pr (mC/cm^2)
0,30um_O_1D,1.0603879388781996,0.3300599843566153,0.5132190611620899,0.08947680371009067,1.480179222417064,0.1398685712624459,8576959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7314224098496906
1,30um_O_2R,0.9319924023050883,0.23334788364565648,0.37890328490175307,0.014551824314202988,1.3759624024969526,0.005969519558511438,200830.0,1.6052121595670408,0.4511637114621348,0.795022489019555,0.795022489019555,1.7536869567048285,0.8206227941673703,0.8206227941673703,1.734200809563876
