,device,Pr (mC/cm^2),Vc (P-V),Imprint (P-V),Vc (I-V),Imprint (I-V),endurance,10^6 Pr (mC/cm^2),10^6 Vc,10^6 Imprint,10^7 Pr (mC/cm^2),10^7 Vc,10^7 Imprint,max Pr (mC/cm^2)
0,30um_O_2R,14.729669358076382,1.0084041228983551,0.17633267890158127,1.045798797160387,0.4076807056782676,2894267.0,0.0,0.0,0.0,0.0,0.0,0.0,18.703351650719572
1,30um_O_1D,14.810661628126338,1.0382868645247072,0.17372555211262752,1.195746089448221,0.016266327189113694,766230.0,0.0,0.0,0.0,0.0,0.0,0.0,18.67295483798246
2,30um_O_1D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
