iteration,Psw,Qsw
000.0000E+0,217.6472E-12,224.5031E-12
1.0000E+0,224.6255E-12,230.5355E-12
57.0000E+0,256.5278E-12,259.9811E-12
3.1630E+3,274.7485E-12,277.4187E-12
177.8280E+3,260.4532E-12,262.1390E-12
10.0000E+6,2.4442E-12,1.9858E-12
