iteration,Psw,Qsw
000.0000E+0,74.4274E-12,77.1280E-12
1.0000E+0,76.9016E-12,79.4744E-12
57.0000E+0,94.8518E-12,96.9659E-12
3.1630E+3,125.9266E-12,127.0620E-12
177.8280E+3,140.6279E-12,141.2609E-12
10.0000E+6,12.4709E-12,16.5977E-12
