Vforce,Charge
2.3665E-3,000.0000E+0
1.2248E-3,-22.9869E-15
-1.5546E-3,-36.3866E-15
-822.3495E-6,-2.4777E-15
-2.2783E-3,-5.5941E-15
-243.0170E-6,-16.2479E-15
2.2204E-3,-44.7242E-15
6.5697E-3,-30.0032E-15
917.3471E-6,-2.2624E-15
480.7305E-6,-58.1644E-15
-2.1390E-3,16.8745E-15
-98.6061E-6,-44.5127E-15
-4.0316E-3,-51.0635E-15
-229.4681E-6,16.4441E-15
614.9797E-6,-49.0593E-15
1.5136E-3,6.7964E-15
485.8090E-6,-31.9643E-15
-669.4724E-6,-84.4367E-15
-370.4895E-6,32.4342E-15
1.9299E-3,-56.3744E-15
-1.5495E-3,-24.5238E-15
-970.1462E-6,-12.5547E-15
338.0128E-6,-68.4561E-15
-1.1146E-3,-39.3474E-15
924.1206E-6,16.5047E-15
-3.2976E-3,-52.4309E-15
-2.1339E-3,-75.4294E-15
-1.2674E-3,-57.2927E-15
1.4967E-3,-26.8090E-15
-1.2708E-3,8.4664E-15
-521.6752E-6,-28.9221E-15
-2.9885E-3,-50.5458E-15
2.0692E-3,-25.5484E-15
-395.8927E-6,-2.6109E-15
-1.9827E-3,-10.5244E-15
332.9320E-6,15.8431E-15
776.3235E-6,-40.7423E-15
-1.3966E-3,23.3336E-15
1.2062E-3,11.3103E-15
329.5461E-6,-82.9868E-15
767.8573E-6,-20.9682E-15
186.8279E-6,-23.3959E-15
628.5272E-6,1.6026E-15
331.2388E-6,19.0569E-15
42.4189E-6,-45.7593E-15
1.0465E-3,-45.4468E-15
-530.1419E-6,3.5462E-15
-1.9742E-3,5.9192E-15
-681.3282E-6,-11.5920E-15
752.6157E-6,-57.2155E-15
1.6208E-3,-80.8996E-15
470.5689E-6,-13.3990E-15
-1.6956E-3,1.3114E-15
1.3438E-3,-6.6004E-15
-2.7166E-3,-30.9718E-15
-693.1806E-6,-91.6787E-15
-1.4220E-3,-61.8901E-15
-691.4875E-6,-24.5575E-15
-536.9173E-6,-41.3831E-15
771.2436E-6,-87.6863E-15
-976.9211E-6,-120.2825E-15
-395.8927E-6,-72.6639E-15
-1.7057E-3,-20.9350E-15
-538.6100E-6,-61.0711E-15
-404.3589E-6,-55.2760E-15
-975.2289E-6,-120.7799E-15
-1.9929E-3,-136.9236E-15
2.4906E-3,-44.0567E-15
620.0606E-6,-2.6068E-15
479.0355E-6,-93.4743E-15
-2.4041E-3,-89.0435E-15
2.6537E-3,-114.7775E-15
-837.5915E-6,-115.1527E-15
-533.5277E-6,-51.0778E-15
-244.7097E-6,-23.3391E-15
484.1163E-6,-64.8427E-15
1.6411E-3,-66.5817E-15
1.0499E-3,-74.4952E-15
-519.9807E-6,-72.8046E-15
-971.8389E-6,-84.1460E-15
-1.3966E-3,-55.0351E-15
40.7244E-6,-27.9830E-15
54.2728E-6,-26.2935E-15
468.8762E-6,-72.6010E-15
-540.3036E-6,-59.9474E-15
-681.3282E-6,-46.6071E-15
499.3579E-6,23.6450E-15
3.8056E-3,-14.4307E-15
484.1163E-6,-85.4145E-15
1.3523E-3,-50.8173E-15
2.8201E-3,-31.9812E-15
1.2045E-3,-28.9221E-15
332.9320E-6,-34.0916E-15
-1.3966E-3,-67.3692E-15
-1.8468E-3,-49.9186E-15
774.6308E-6,-13.9502E-15
-519.9807E-6,31.6180E-15
-390.8137E-6,-40.7397E-15
-110.4577E-6,-58.9386E-15
626.8345E-6,-46.2813E-15
2.6249E-3,29.4427E-15
17.2137E-3,196.3510E-15
33.2500E-3,417.4229E-15
45.0866E-3,590.5020E-15
65.7474E-3,821.1736E-15
80.6420E-3,1.0327E-12
94.9099E-3,1.2297E-12
109.2099E-3,1.4165E-12
125.5283E-3,1.5752E-12
142.5805E-3,1.8696E-12
156.7294E-3,2.0564E-12
169.5700E-3,2.1863E-12
183.1226E-3,2.3854E-12
201.0447E-3,2.6086E-12
216.2180E-3,2.8461E-12
233.5557E-3,3.0740E-12
246.1126E-3,3.2485E-12
261.4201E-3,3.3983E-12
275.5757E-3,3.6557E-12
292.0317E-3,3.9165E-12
309.6668E-3,4.1355E-12
321.7667E-3,4.3504E-12
340.7285E-3,4.5352E-12
351.9502E-3,4.7014E-12
367.4394E-3,4.9896E-12
381.7072E-3,5.2573E-12
403.0952E-3,5.5024E-12
411.6052E-3,5.6851E-12
428.3602E-3,5.8746E-12
441.4779E-3,6.1533E-12
459.8332E-3,6.4676E-12
474.4153E-3,6.7175E-12
488.5777E-3,6.9536E-12
504.3032E-3,7.1925E-12
518.7527E-3,7.4917E-12
532.1659E-3,7.7814E-12
549.9470E-3,8.1101E-12
566.1311E-3,8.3510E-12
579.8264E-3,8.6571E-12
595.4413E-3,8.9748E-12
610.0133E-3,9.3015E-12
624.6190E-3,9.6672E-12
642.5293E-3,10.0179E-12
655.0794E-3,10.3013E-12
669.3625E-3,10.6575E-12
686.4233E-3,11.0616E-12
700.7131E-3,11.4979E-12
716.5982E-3,11.8575E-12
730.8864E-3,12.2698E-12
745.9254E-3,12.6678E-12
761.0664E-3,13.0925E-12
775.6536E-3,13.5562E-12
789.6563E-3,14.0694E-12
807.4408E-3,14.5379E-12
819.2656E-3,15.0141E-12
836.0239E-3,15.4744E-12
852.9301E-3,16.0245E-12
867.7942E-3,16.5864E-12
882.9640E-3,17.1345E-12
902.6310E-3,17.7251E-12
910.6705E-3,18.2766E-12
929.4609E-3,18.9289E-12
942.0313E-3,19.5757E-12
961.8324E-3,20.1965E-12
971.3296E-3,20.8653E-12
988.5094E-3,21.5621E-12
1.0032E+0,22.3282E-12
1.0177E+0,23.0217E-12
1.0326E+0,23.7837E-12
1.0483E+0,24.5943E-12
1.0625E+0,25.4160E-12
1.0796E+0,26.2589E-12
1.0965E+0,27.1093E-12
1.1104E+0,27.9680E-12
1.1263E+0,28.9247E-12
1.1357E+0,29.8766E-12
1.1556E+0,30.8340E-12
1.1680E+0,31.8551E-12
1.1871E+0,32.8550E-12
1.2008E+0,33.8453E-12
1.2135E+0,34.9165E-12
1.2297E+0,35.9562E-12
1.2467E+0,37.0445E-12
1.2626E+0,38.0890E-12
1.2772E+0,39.1204E-12
1.2950E+0,40.2184E-12
1.3084E+0,41.3931E-12
1.3201E+0,42.4821E-12
1.3361E+0,43.5807E-12
1.3481E+0,44.6931E-12
1.3653E+0,45.8404E-12
1.3822E+0,46.9843E-12
1.3995E+0,48.1775E-12
1.4137E+0,49.3268E-12
1.4304E+0,50.4392E-12
1.4418E+0,51.5604E-12
1.4571E+0,52.7303E-12
1.4745E+0,53.8893E-12
1.4896E+0,55.0572E-12
1.5049E+0,56.1489E-12
1.5184E+0,57.2633E-12
1.5366E+0,58.4374E-12
1.5510E+0,59.6059E-12
1.5660E+0,60.7039E-12
1.5796E+0,61.8114E-12
1.5949E+0,62.8970E-12
1.6114E+0,64.0278E-12
1.6267E+0,65.1155E-12
1.6452E+0,66.2443E-12
1.6554E+0,67.3504E-12
1.6706E+0,68.4299E-12
1.6849E+0,69.4963E-12
1.6990E+0,70.5695E-12
1.7178E+0,71.6812E-12
1.7315E+0,72.7517E-12
1.7451E+0,73.8236E-12
1.7637E+0,74.9215E-12
1.7797E+0,76.0181E-12
1.7942E+0,77.0372E-12
1.8083E+0,78.0378E-12
1.8235E+0,79.0932E-12
1.8407E+0,80.1349E-12
1.8546E+0,81.1437E-12
1.8701E+0,82.1237E-12
1.8856E+0,83.1908E-12
1.8997E+0,84.1866E-12
1.9156E+0,85.2084E-12
1.9320E+0,86.1082E-12
1.9431E+0,87.0211E-12
1.9640E+0,87.9174E-12
1.9774E+0,88.7967E-12
1.9942E+0,89.7123E-12
2.0057E+0,90.7025E-12
2.0226E+0,91.4632E-12
2.0374E+0,92.3657E-12
2.0501E+0,93.1976E-12
2.0645E+0,93.9967E-12
2.0821E+0,94.9280E-12
2.0954E+0,95.7037E-12
2.1119E+0,96.4068E-12
2.1263E+0,97.3161E-12
2.1450E+0,98.0939E-12
2.1571E+0,98.8011E-12
2.1725E+0,99.6227E-12
2.1899E+0,100.3429E-12
2.2059E+0,101.1844E-12
2.2172E+0,101.9834E-12
2.2355E+0,102.6172E-12
2.2463E+0,103.3121E-12
2.2644E+0,104.0603E-12
2.2774E+0,104.7517E-12
2.2959E+0,105.5741E-12
2.3118E+0,106.2620E-12
2.3229E+0,106.8492E-12
2.3406E+0,107.4899E-12
2.3536E+0,108.1305E-12
2.3747E+0,108.8637E-12
2.3837E+0,109.5832E-12
2.3996E+0,110.1464E-12
2.4141E+0,110.7439E-12
2.4304E+0,111.4387E-12
2.4455E+0,112.0375E-12
2.4606E+0,112.7015E-12
2.4754E+0,113.3064E-12
2.4869E+0,113.9252E-12
2.5070E+0,114.6179E-12
2.5243E+0,115.2250E-12
2.5386E+0,115.8259E-12
2.5528E+0,116.4727E-12
2.5663E+0,117.0886E-12
2.5831E+0,117.7505E-12
2.5983E+0,118.2479E-12
2.6115E+0,118.8111E-12
2.6297E+0,119.4250E-12
2.6435E+0,120.0526E-12
2.6596E+0,120.6576E-12
2.6768E+0,121.2482E-12
2.6910E+0,121.7758E-12
2.7050E+0,122.3526E-12
2.7236E+0,122.9734E-12
2.7369E+0,123.5428E-12
2.7515E+0,124.0689E-12
2.7662E+0,124.5773E-12
2.7809E+0,125.1644E-12
2.8019E+0,125.7647E-12
2.8116E+0,126.2298E-12
2.8282E+0,126.7004E-12
2.8436E+0,127.2478E-12
2.8592E+0,127.8213E-12
2.8718E+0,128.3893E-12
2.8890E+0,128.9106E-12
2.9046E+0,129.3004E-12
2.9157E+0,129.7593E-12
2.9359E+0,130.2149E-12
2.9499E+0,130.7410E-12
2.9652E+0,131.2158E-12
2.9802E+0,131.5966E-12
2.9938E+0,131.9253E-12
3.0065E+0,132.3342E-12
3.0275E+0,132.8275E-12
3.0328E+0,133.1898E-12
3.0175E+0,133.1064E-12
3.0000E+0,132.9114E-12
2.9866E+0,132.8219E-12
2.9720E+0,132.7673E-12
2.9569E+0,132.6758E-12
2.9418E+0,132.4930E-12
2.9268E+0,132.2459E-12
2.9099E+0,132.1001E-12
2.8953E+0,131.9976E-12
2.8812E+0,131.8718E-12
2.8633E+0,131.6932E-12
2.8517E+0,131.4700E-12
2.8323E+0,131.2824E-12
2.8197E+0,131.1278E-12
2.8058E+0,130.9499E-12
2.7914E+0,130.7596E-12
2.7748E+0,130.5920E-12
2.7581E+0,130.3982E-12
2.7434E+0,130.2045E-12
2.7281E+0,130.0616E-12
2.7142E+0,129.8973E-12
2.7005E+0,129.6536E-12
2.6812E+0,129.4427E-12
2.6641E+0,129.2963E-12
2.6542E+0,129.1335E-12
2.6351E+0,128.9398E-12
2.6221E+0,128.7454E-12
2.6080E+0,128.5373E-12
2.5899E+0,128.3367E-12
2.5765E+0,128.2040E-12
2.5620E+0,127.9987E-12
2.5477E+0,127.7906E-12
2.5329E+0,127.5941E-12
2.5133E+0,127.3977E-12
2.5044E+0,127.2012E-12
2.4839E+0,127.0096E-12
2.4684E+0,126.7932E-12
2.4527E+0,126.6208E-12
2.4388E+0,126.4291E-12
2.4232E+0,126.2416E-12
2.4092E+0,126.0307E-12
2.3970E+0,125.8556E-12
2.3830E+0,125.6605E-12
2.3665E+0,125.4613E-12
2.3506E+0,125.2710E-12
2.3336E+0,125.1294E-12
2.3202E+0,124.8658E-12
2.3046E+0,124.6570E-12
2.2901E+0,124.5017E-12
