,device,Pr (mC/cm^2),2 Qsw/(U+|D|),Vc (P-V),Imprint (P-V),Vc (I-V),Imprint (I-V),endurance,10^6 Pr (mC/cm^2),10^6 2 Qsw/(U+|D|),10^6 Vc,10^6 Imprint,10^7 Pr (mC/cm^2),10^7 2 Qsw/(U+|D|),10^7 Vc,10^7 Imprint,max Pr (mC/cm^2)
0,20um_O_1D,2.4787704042461574,0.5060125708793564,0.7133762598969042,0.04460681207691797,1.2924083152320236,0.15431014449549374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20um_O_3R,1.3912090001455444,0.3449605279296296,0.4857192251365632,-0.0023183228455667115,1.3212776395957917,0.0906937423154528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3559827167496374
2,20um_O_2D2R,1.9751110470506208,0.0,0.6455059305299073,0.05256056857722824,1.3297316196840256,0.11422630145641999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,50um_O_1D,1.728588585024227,0.4827735071661317,0.6070893707219511,0.0291622452796666,1.3260296371299773,0.10130197688799769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
