,device,Pr (mC/cm^2),2 Qsw/(U+|D|),Vc (P-V),Imprint (P-V),Vc (I-V),Imprint (I-V),endurance,10^6 Pr (mC/cm^2),10^6 2 Qsw/(U+|D|),10^6 Vc,10^6 Imprint,10^7 Pr (mC/cm^2),10^7 2 Qsw/(U+|D|),10^7 Vc,10^7 Imprint,max Pr (mC/cm^2)
0,100um_O_2R,13.224908137999583,0.2815402813371876,0.9623481156304479,0.1739529184844406,0.9300861693918705,0.56946674639695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20um_O_5R,12.629896844472725,0.0,0.8911657140124589,0.1587162420390265,0.7646360313519835,0.5513605004878805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,30um_O_1D,12.88056468548193,0.010850505230565789,0.8945330888964236,0.1496498200538583,0.8027611726429313,0.5604378185196794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,20um_O_3D,12.38936476133196,0.017549184642881546,0.8632733821868896,0.13670148092825885,0.7943794180173427,0.5550650807334201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,20um_O_2D2R,12.465061647168831,0.9173717561986604,0.8728834602516145,0.1444191540492179,0.7803783903364092,0.5693500054900946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.242917381767754
5,20um_O_1D,13.230189702362338,0.0,0.9890488530509174,0.21287858764808926,1.200615101493895,0.28956722700205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,100um_O_1D,13.038797556703562,0.0,0.9780047959648073,0.18409148157100946,1.2969522299245,0.24833969558115876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
