,device,Pr (mC/cm^2),2 Qsw/(U+|D|),Vc (P-V),Imprint (P-V),Vc (I-V),Imprint (I-V),endurance,10^6 Pr (mC/cm^2),10^6 2 Qsw/(U+|D|),10^6 Vc,10^6 Imprint,10^7 Pr (mC/cm^2),10^7 2 Qsw/(U+|D|),10^7 Vc,10^7 Imprint,max Pr (mC/cm^2)
0,30um_O_1D,15.360057797265892,2.7554723116591644,1.592247653985396,0.1497314135490566,1.5467694227118045,0.22713792845072445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20um_O_3D2R,15.837945723417608,0.0,1.5566632107365876,0.15859719099797553,1.4581701925490052,0.22891480069928116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20um_O_1D,15.054622758859587,2.57230410951803,1.6025075719226152,0.17523841872490697,1.662003759527579,0.23473460632987075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,20um_O_2D,15.462516119737685,2.6612340996988673,1.5888021227438003,0.16102046338215348,1.533695105696097,0.24454579088210937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,20um_O_2D2R,15.438298964218452,2.715912811245491,1.5798359683249146,0.15322883268741916,1.4876299072057009,0.197200000331905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.661410691174435
