,V=506,V=548,V=590,V=632,V=674,V=716
t=0.1,81.6,97.26,118.9,141.2,165.5,189.2
t=2.6,286.3,336.71,387.6,444.8,504.77,563.335
t=5.1,270.4,314.5,360.45,411.28,461.252,514.998
t=7.6,248.4,288.1,328.3,370.8,414.97,438.1
t=10.1,230.4,267.1,302.206,340.835,380.9,421.551
