,device,Pr (mC/cm^2),2 Qsw/(U+|D|),Vc (P-V),Imprint (P-V),Vc (I-V),Imprint (I-V),endurance,10^6 Pr (mC/cm^2),10^6 2 Qsw/(U+|D|),10^6 Vc,10^6 Imprint,10^7 Pr (mC/cm^2),10^7 Vc,10^7 Imprint,max Pr (mC/cm^2)
0,20um_O_1D,2.4680065589755045,0.0081819809344435,0.7758531912695616,0.10762220700118752,1.2978865376207978,0.24957244829122027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,30um_O_1D,1.5789050532985804,0.39104212377481506,0.5330790579319,0.0006484170215296237,1.3297366651240736,0.11364018612113758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20um_O_3R,1.3912090001455444,0.3449605279296296,0.4857192251365632,-0.0023183228455667115,1.3212776395957917,0.0906937423154528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3559827167496374
3,30um_O_1D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,20um_O_3R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,20um_O_2D2R,1.9751110470506208,0.0,0.6455059305299073,0.05256056857722824,1.3297316196840256,0.11422630145641999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,30um_O_1D_endurance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
