,device,Pr (mC/cm^2),2 Qsw/(U+|D|),Vc (P-V),Imprint (P-V),Vc (I-V),Imprint (I-V),endurance,10^6 Pr (mC/cm^2),10^6 2 Qsw/(U+|D|),10^6 Vc,10^6 Imprint,10^7 Pr (mC/cm^2),10^7 2 Qsw/(U+|D|),10^7 Vc,10^7 Imprint,max Pr (mC/cm^2)
0,20um_O_3D,20.139843742776996,2.029671119119435,2.007431736914441,0.21203535803990647,2.2259900567587465,0.7523587048931627,3163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.8480946047222
1,30um_O_-1D2R,20.820034532966602,2.158830966298321,1.8749964809976518,0.12931749907887136,2.9079832988791168,-0.0803619829601927,3163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.269276244363018
2,20um_O_2R,21.84192059471256,1.938736762317037,2.127963485661894,0.2263114575418781,2.991512168664485,-0.002003074425165785,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.226405237209857
3,20um_O_1D,0.0,1.0537624046166227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
