,device,Pr (mC/cm^2),2 Qsw/(U+|D|),Vc (P-V),Imprint (P-V),Vc (I-V),Imprint (I-V),endurance,10^6 Pr (mC/cm^2),10^6 2 Qsw/(U+|D|),10^6 Vc,10^6 Imprint,10^7 Pr (mC/cm^2),10^7 2 Qsw/(U+|D|),10^7 Vc,10^7 Imprint,max Pr (mC/cm^2)
0,20um_O_1D,13.683367858628307,1.211619529929796,0.9573022876866162,0.16766196580939607,0.8898432124406099,0.5990132503058823,177828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.269905638403916
1,20um_O_2D,13.3907793227617,1.2322200921772852,0.973397308262065,0.1688633818049594,0.8120034909807146,0.5058332042173161,177828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.665204416792424
2,100um_O_1D,13.415447341347122,0.25883220946323005,1.0821517487056553,0.1754245251172879,1.1224041474051774,0.5986719537282088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
