,device,Pr (mC/cm^2),2 Qsw/(U+|D|),Vc (P-V),Imprint (P-V),Vc (I-V),Imprint (I-V),endurance,10^6 Pr (mC/cm^2),10^6 2 Qsw/(U+|D|),10^6 Vc,10^6 Imprint,10^7 Pr (mC/cm^2),10^7 2 Qsw/(U+|D|),10^7 Vc,10^7 Imprint,max Pr (mC/cm^2)
0,30um_O_2D2R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20um_O_1D,16.406342133113597,1.6505236082036818,0.9706365612801164,0.18259123888736983,1.0457240042742342,0.2308251120982172,924022.0,20.208732991365643,3.8220865188186717,0.8322014838418881,0.8322014838418881,20.11221855703862,3.8050528055652655,0.8480340381461631,0.8480340381461631,19.69361206368939
2,30um_O_4D,15.758626993071317,1.4999562128977952,0.9715039045549929,0.1363452799602976,0.814175499137491,0.4610451968371501,177828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.97815961324929
3,20um_O_3D,16.463264650923307,1.5326025881713503,0.9570594385731965,0.13479642724603047,0.7759025202831253,0.4254501951251515,177828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.481066518120983
4,20um_O_2R,15.807644069601398,1.4854226538832904,0.9642876023426652,0.16063581837616003,1.0769217396155,0.21419775497443116,3163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.713287240270656
5,30um_O_1D,17.42651456192472,0.0,1.3895694040693343,0.06750276685906109,1.8671379361767322,0.28672627011527785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
