,device,Pr (mC/cm^2),2 Qsw/(U+|D|),Vc (P-V),Imprint (P-V),Vc (I-V),Imprint (I-V),endurance,10^6 Pr (mC/cm^2),10^6 2 Qsw/(U+|D|),10^6 Vc,10^6 Imprint,10^7 Pr (mC/cm^2),10^7 Vc,10^7 Imprint,max Pr (mC/cm^2)
0,30um_O_2D,8.779436233099762,1.3963241962978805,1.0429529569810256,0.11160927447712843,1.2463220397476107,0.07334638906399582,2511887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.315469187636037
1,30um_O_2D3R,9.66145433191437,1.4474043604684745,1.050393637327943,0.11935834294487652,1.2374559108866379,0.06610087938676523,766230.0,12.07424073535244,2.651546836022379,0.8702677307883278,0.8595916124573904,0.0,0.0,0.0,12.266088518438536
2,30um_O_1D,8.00696454158848,1.3383734206356566,1.0370240795309655,0.10249309895990621,1.2538949928130023,0.0643144224534018,735643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.155035840154385
