,device,Pr,Vc (P-V),Imprint (P-V),Vc (I-V),Imprint (I-V),endurance,10^6 Pr,10^6 Vc,10^6 Imprint,10^7 Pr,10^7 Vc,10^7 Imprint
0,30um_O_1D,1.0603879388781994e-28,0.5132190611620899,0.08947680371009067,0.0,0.0,8576959.0,0.0,0.0,0.0,0.0,0.0,0.0
1,30um_O_2R,9.319924023050884e-29,0.37890328490175307,0.014551824314202988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
