,device,Pr (mC/cm^2),Vc (P-V),Imprint (P-V),Vc (I-V),Imprint (I-V),endurance,10^6 Pr (mC/cm^2),10^6 Vc,10^6 Imprint,10^7 Pr (mC/cm^2),10^7 Vc,10^7 Imprint,max Pr (mC/cm^2)
0,30um_O_4D3R,22.06294252573569,0.9443748043850064,0.16475370077572077,0.0,0.0,0.0,1.104471470472219e-10,0.0,0.0,0.0,0.0,0.0,2.319948024150629e-10
1,30um_O_1D,22.65983740174853,0.9663854346144944,0.14023263034406958,0.0,0.0,2511887.0,1.2056859430640934e-10,0.0,0.0,0.0,0.0,0.0,2.338481678909688e-10
2,30um_O_1D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,20um_O_4R,29.205107310845396,0.9310788558796048,0.16181712536657517,0.0,0.0,2511887.0,9.288935074783113e-11,0.0,0.0,0.0,0.0,0.0,1.618259601560368e-10
