,device,Pr (mC/cm^2),Vc (P-V),Imprint (P-V),Vc (I-V),Imprint (I-V),endurance,10^6 Pr (mC/cm^2),10^6 Vc,10^6 Imprint,10^7 Pr (mC/cm^2),10^7 Vc,10^7 Imprint,max Pr (mC/cm^2)
0,30um_O_1D,14.302824105345008,1.0416300661163405,0.2909993840437921,1.2368947230279446,0.4723621239243614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20um_O_2D5R,14.817669291034013,0.9704140288231429,0.17136929367961035,0.9479115028661909,0.4307815548859178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20um_O_3R,15.039756191015414,0.9853732273622882,0.186442623172342,0.9936002717295196,0.4494036195347227,680944.0,19.278155297905386,0.8529760562047357,0.8529760562047357,19.412784714216336,0.843112088421033,0.843112088421033,19.42920130061365
