,device,Pr,Vc (P-V),Imprint (P-V),Vc (I-V),Imprint (I-V),endurance,10^6 Pr,10^6 Vc,10^6 Imprint,10^7 Pr,10^7 Vc,10^7 Imprint
0,20um_O_-4D4R,6.365025424932632e-28,0.919640121399425,0.04281635434613906,0.0,0.0,29286446.0,0.0,0.0,0.0,0.0,0.0,0.0
1,30um_O_-4D,8.917954214302761e-28,0.9470345878507942,0.05693834123792568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20um_O_-4D,2.7867759950339608e-28,0.7852047721098643,0.044913946774017166,0.0,0.0,8576959.0,0.0,0.0,0.0,0.0,0.0,0.0
3,30um_O_-5D,9.295987656246689e-28,0.9624078137276229,0.08801114066492849,0.0,0.0,2511887.0,0.0,0.0,0.0,0.0,0.0,0.0
