,device,Pr,Vc (P-V),Imprint (P-V),Vc (I-V),Imprint (I-V),endurance,10^6 Pr,10^6 Vc,10^6 Imprint,10^7 Pr,10^7 Vc,10^7 Imprint
0,30um_O_3D2R,5.6770493011350025,0.8432027575618122,0.08892077420789635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,30um_O_3R,4.564903653974598,0.7820148030878045,0.04324125746750751,0.0,0.0,2511887.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20um_O_2D3R,1.5602825619964826,0.506205151847098,0.00443974071563169,0.0,0.0,8576959.0,0.0,0.0,0.0,0.0,0.0,0.0
3,20um_O_4D4R,3.1532001992573537,0.7341130232089199,0.03401523977630805,0.0,0.0,8576959.0,0.0,0.0,0.0,0.0,0.0,0.0
4,30um_O_1D,3.6440213774666415,0.9706603447630187,0.021429518540348136,0.0,0.0,8576959.0,0.0,0.0,0.0,0.0,0.0,0.0
