,device,Pr,Vc (P-V),Imprint (P-V),Vc (I-V),Imprint (I-V),endurance,10^6 Pr,10^6 Vc,10^6 Imprint,10^7 Pr,10^7 Vc,10^7 Imprint
0,100um_O_1D,-3.6696830910300375e-30,0.03764773183502257,0.05123250880378841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,30um_O_1D,-4.974917323528858e-30,0.0721185648944811,0.08216669579734548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
