,device,Pr (mC/cm^2),Vc (P-V),Imprint (P-V),Vc (I-V),Imprint (I-V),endurance,10^6 Pr (mC/cm^2),10^6 Vc,10^6 Imprint,10^7 Pr (mC/cm^2),10^7 Vc,10^7 Imprint,max Pr (mC/cm^2)
0,200um_O_NA,4.4307004555996246,0.9144114153459668,0.2017191789315102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,100um_O_NA,7.12918197723412,1.041529898531735,0.1209277607814016,0.0,0.0,0.0,1.644554285073403,0.0,0.0,0.0,0.0,0.0,3.43979849070024
2,100um_O_NA2,6.207450297097228,1.0220807217992842,0.09591177992019845,0.0,0.0,0.0,1.4980701015426132,0.0,0.0,0.0,0.0,0.0,3.008589019478336
