,device,Pr (mC/cm^2),Vc (P-V),Imprint (P-V),Vc (I-V),Imprint (I-V),endurance,10^6 Pr (mC/cm^2),10^6 Vc,10^6 Imprint,10^7 Pr (mC/cm^2),10^7 Vc,10^7 Imprint,max Pr (mC/cm^2)
0,30um_O_2D,8.779436233099762,1.0429529569810256,0.11160927447712843,0.0,0.0,2511887.0,5.3859460022930164e-11,0.0,0.0,0.0,0.0,0.0,1.0183922268872433e-10
1,30um_O_2D3R,9.66145433191437,1.050393637327943,0.11935834294487652,0.0,0.0,0.0,5.4513514832888133e-11,0.0,0.0,0.0,0.0,0.0,1.0933716420760576e-10
2,30um_O_1D,8.00696454158848,1.0370240795309655,0.10249309895990621,0.0,0.0,735643.0,3.3100741936109516e-11,0.0,0.0,0.0,0.0,0.0,9.139532256138947e-11
