,device,Pr (mC/cm^2),Vc (P-V),Imprint (P-V),Vc (I-V),Imprint (I-V),endurance,10^6 Pr (mC/cm^2),10^6 Vc,10^6 Imprint,10^7 Pr (mC/cm^2),10^7 Vc,10^7 Imprint,max Pr (mC/cm^2)
0,30um_O_2D3R,0.6260514851419434,0.2611236332959379,-0.0007961918600201678,0.0,0.0,29286446.0,4.402898209234659e-12,0.0,0.0,0.0,0.0,0.0,1.312020520174871e-11
1,30um_O_2R,0.5388300034307293,0.20768569225765532,-0.009479533549207109,0.0,0.0,0.0,4.417260547478219e-12,0.0,0.0,0.0,0.0,0.0,1.1243179281894556e-11
2,30um_O_3R,0.7715506108575516,0.20577398294699378,0.021602440073172052,0.0,0.0,0.0,7.583468789484396e-12,0.0,0.0,0.0,0.0,0.0,1.5235812102614902e-11
3,20um_O_2D5R,0.6010451333082754,0.299611627968261,0.05063310752040229,0.0,0.0,8576959.0,2.191765274124186e-12,0.0,0.0,0.0,0.0,0.0,5.28871073513847e-12
4,30um_O_4R,0.7379591806966317,0.20618160191224888,0.021432200620184916,0.0,0.0,8576959.0,6.7267883473876745e-12,0.0,0.0,0.0,0.0,0.0,1.6461573332711136e-11
