,device,Pr (mC/cm^2),Vc (P-V),Imprint (P-V),Vc (I-V),Imprint (I-V),endurance,10^6 Pr (mC/cm^2),10^6 Vc,10^6 Imprint,10^7 Pr (mC/cm^2),10^7 Vc,10^7 Imprint,max Pr (mC/cm^2)
0,20um_O_2D5R,12.854598352163286,0.9415495117427781,0.14056160675652074,0.880216392542934,0.5308583681395904,0.0,8.598662736416905,0.0,0.0,0.0,0.0,0.0,17.289198920495405
1,30um_O_2D,13.554138076246328,1.0627156884875149,0.14663748546093403,1.2059690142050385,0.06515459050945638,2511887.0,9.428066339496405,0.0,0.0,0.0,0.0,0.0,17.030814006556096
2,30um_O_2D3R,12.97225133682431,0.9549501625588164,0.12689314327723022,0.893263955542352,0.5167150557302744,2511887.0,9.874703843616258,0.0,0.0,0.0,0.0,0.0,17.23924907963988
