,device,Pr,Vc (P-V),Imprint (P-V),Vc (I-V),Imprint (I-V),endurance,10^6 Pr,10^6 Vc,10^6 Imprint,10^7 Pr,10^7 Vc,10^7 Imprint
0,30um_O_2R,5.625339869968611e-30,0.0583222063141875,0.022932339747863118,0.0,0.0,8576959.0,0.0,0.0,0.0,0.0,0.0,0.0
1,30um_O_1D,1.071467181646051e-30,0.0650020825341926,0.044345470180054636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
