,device,Pr (mC/cm^2),Vc (P-V),Imprint (P-V),Vc (I-V),Imprint (I-V),endurance,10^6 Pr (mC/cm^2),10^6 Vc,10^6 Imprint,10^7 Pr (mC/cm^2),10^7 Vc,10^7 Imprint,max Pr (mC/cm^2)
0,30um_O_2D,15.06859145048999,1.0561327786417678,0.18613060942516313,1.1976726477732882,0.059038897805294255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,30um_O_2D3R,15.17516795298719,0.9827658241265453,0.11020352520868298,0.9758233813918196,0.4185255258752045,0.0,18.658370403176136,0.8864538548514247,0.8804446395050181,0.0,0.0,0.0,0.0
