iteration,Psw,Qsw
000.0000E+0,218.7270E-12,225.6917E-12
1.0000E+0,223.9995E-12,230.1760E-12
57.0000E+0,249.2512E-12,253.3595E-12
3.1630E+3,253.5715E-12,256.8470E-12
177.8280E+3,-183.1839E-15,2.1934E-12
10.0000E+6,-2.4259E-12,4.1310E-12
