iteration,Psw,Qsw
000.0000E+0,191.4856E-12,197.7349E-12
1.0000E+0,196.9233E-12,203.1941E-12
57.0000E+0,236.5069E-12,242.6348E-12
3.1630E+3,316.7106E-12,320.0039E-12
177.8280E+3,348.6562E-12,349.8880E-12
10.0000E+6,345.1528E-12,346.2426E-12
