iteration,Psw
000.0000E+0,416.4248E-12
1.0000E+0,424.5981E-12
57.0000E+0,455.2326E-12
3.1630E+3,486.2425E-12
177.8280E+3,504.8901E-12
10.0000E+6,524.2404E-12
