iteration,Psw,Qsw
000.0000E+0,67.2851E-12,70.3336E-12
1.0000E+0,69.3454E-12,72.4746E-12
57.0000E+0,86.6936E-12,89.3878E-12
3.1630E+3,120.7722E-12,122.3443E-12
177.8280E+3,139.6447E-12,140.4794E-12
10.0000E+6,145.4214E-12,145.9433E-12
