Vforce,Charge
-228.6059E-6,000.0000E+0
-362.8574E-6,-20.0276E-15
1.6572E-3,-67.4793E-15
2.2501E-3,-67.6206E-15
-655.0655E-6,-14.9770E-15
515.4617E-6,-16.4900E-15
-359.4679E-6,-45.4292E-15
946.9979E-6,-69.5672E-15
1.0846E-3,-51.8864E-15
-218.4466E-6,-56.1455E-15
-792.7005E-6,-19.9538E-15
-920.1753E-6,-7.0669E-15
-1.6778E-3,-77.1472E-15
-218.4466E-6,-90.3189E-15
-938.8046E-6,-51.3855E-15
208.0130E-6,9.4842E-15
-74.0357E-6,20.9936E-15
72.0679E-6,-59.3652E-15
-367.9364E-6,-63.6259E-15
1.2240E-3,-51.4314E-15
-2.8398E-3,-40.6145E-15
-1.0900E-3,-6.4822E-15
371.0508E-6,-36.1044E-15
1.7965E-3,-31.4529E-15
-1.2293E-3,-44.6247E-15
936.8386E-6,-60.5388E-15
201.2386E-6,-26.4092E-15
-92.6607E-6,-43.7003E-15
354.1161E-6,-58.9304E-15
-1.3805E-3,-24.1131E-15
357.5024E-6,-85.9621E-15
2.2196E-3,-29.2092E-15
2.8362E-3,20.0145E-15
-381.4825E-6,-87.7743E-15
2.8006E-3,23.1412E-15
-1.5283E-3,-33.2258E-15
637.8575E-6,-73.1386E-15
-1.5418E-3,40.5160E-15
1.3785E-3,-67.2642E-15
-1.0968E-3,-63.3000E-15
-2.2368E-3,40.0793E-15
-646.5970E-6,-82.0993E-15
-1.2395E-3,-13.6893E-15
77.1506E-6,28.6737E-15
-656.7582E-6,-87.3378E-15
-2.2622E-3,11.2344E-15
-209.9780E-6,44.6853E-15
-1.5232E-3,-28.8198E-15
-356.0821E-6,70.4470E-15
82.2291E-6,-54.4719E-15
-1.9615E-3,-21.7124E-15
2.6884E-3,47.3923E-15
-366.2437E-6,-10.3438E-15
-1.3907E-3,-42.0317E-15
-4.7036E-3,-5.8438E-15
953.7733E-6,-36.1499E-15
-955.7388E-6,39.8000E-15
77.1506E-6,37.5998E-15
503.6060E-6,-38.6460E-15
-2.6904E-3,-29.8843E-15
2.9586E-3,-23.1740E-15
-943.8835E-6,10.2732E-15
2.8328E-3,51.9544E-15
649.7095E-6,-44.1730E-15
-75.7284E-6,-48.4326E-15
-792.7005E-6,-27.3239E-15
797.5062E-6,-56.9482E-15
-1.9548E-3,-24.8722E-15
-1.0900E-3,-9.2508E-15
-216.7539E-6,-17.6229E-15
365.9686E-6,-27.3646E-15
-938.8046E-6,-57.6755E-15
785.6547E-6,-44.1114E-15
2.9789E-3,7.8541E-15
4.5369E-3,-34.1156E-15
799.2012E-6,-7.5211E-15
-639.8216E-6,-60.4532E-15
-374.7099E-6,-44.8340E-15
-1.2344E-3,267.6964E-18
-950.6584E-6,-14.9640E-15
785.6547E-6,-70.6443E-15
-2.6954E-3,-107.8185E-15
1.2358E-3,-66.1401E-15
-2.5426E-3,897.7437E-18
-1.3619E-3,-11.5847E-15
202.9317E-6,-70.0090E-15
-502.1861E-6,-75.6376E-15
1.9545E-3,-36.7026E-15
508.6863E-6,-18.3357E-15
355.8088E-6,-34.2508E-15
4.8325E-3,-70.7336E-15
1.2257E-3,-85.9621E-15
-80.8087E-6,-47.7169E-15
945.3053E-6,-34.1481E-15
-3.4141E-3,-5.5048E-15
-1.9565E-3,-65.9836E-15
1.3633E-3,-86.6990E-15
2.3979E-3,-16.9093E-15
486.6713E-6,-11.5754E-15
1.5145E-3,-65.8825E-15
5.2471E-3,-27.6420E-15
18.6908E-3,177.2006E-15
33.7061E-3,447.1729E-15
52.7886E-3,641.0514E-15
64.6167E-3,843.8383E-15
79.9259E-3,1.0233E-12
96.5263E-3,1.2254E-12
112.7139E-3,1.4625E-12
126.5705E-3,1.6920E-12
140.2895E-3,1.8797E-12
153.5803E-3,2.0784E-12
170.1756E-3,2.2490E-12
187.0784E-3,2.5196E-12
201.9578E-3,2.7457E-12
215.9893E-3,2.9451E-12
233.4477E-3,3.1266E-12
244.8358E-3,3.3486E-12
263.4732E-3,3.6193E-12
280.2383E-3,3.8721E-12
295.8279E-3,4.0324E-12
309.9903E-3,4.2571E-12
321.9611E-3,4.5065E-12
339.1527E-3,4.7628E-12
353.7399E-3,5.0108E-12
367.0087E-3,5.2102E-12
383.3304E-3,5.4363E-12
