iteration,Psw,Qsw
000.0000E+0,28.2821E-12,29.0911E-12
1.0000E+0,29.2280E-12,29.8990E-12
57.0000E+0,34.2756E-12,34.6636E-12
3.1630E+3,40.7507E-12,40.7972E-12
177.8280E+3,42.2270E-12,42.4553E-12
10.0000E+6,45.2316E-12,45.5228E-12
